x,y,z_s,snr,image_positions,magnifications
2.7724637681159425,2.563768115942029,0.65,1.1401706429981544,"[(3.205700761031486, 4.574790460292737), (3.8826603962530295, 0.6128050340577702)]","[-1.9362276815227077, 2.925570150803613]"
1.9028985507246376,2.7956521739130435,0.6,0.2422903957237202,"[(4.313606940561814, 4.15071813321559)]",[-1.1882488864236889]
2.511594202898551,3.781159420289855,0.85,0.6656413023316217,"[(1.9161443003692444, 4.892939513454617)]",[2.103075337819908]
2.221739130434783,2.7086956521739127,0.75,1.3780782994303895,"[(0.9263439962249211, 2.1752376751329168), (3.266326548611108, 3.6045825913670786)]","[7.469492224395727, -0.7114508354015849]"
1.9028985507246376,3.288405797101449,0.7,4.148583129883867,"[(0.3044658877207408, 4.140540988104638), (3.6255529548679535, 3.1497081954692145)]","[2.295636120219611, -1.193215018862654]"
2.482608695652174,2.389855072463768,1.05,0.6534316112921565,"[(2.489308646725252, 1.4499770036383681)]",[2.384595859140383]
2.9173913043478263,3.6652173913043473,1.3,0.4790766104950262,"[(2.9668934037772012, 4.459233035007301)]",[2.581290676606435]
2.97536231884058,2.389855072463768,1.2,1.5387517745841508,"[(2.670184363549974, 3.219334651793342), (3.4259300680275295, 1.6131746181512947)]","[-0.20136296330145562, 1.7787891459582974]"
2.946376811594204,2.418840579710145,1.45,7.472781550907871,"[(3.335279359434514, 1.7187039257251961)]",[1.7441091424084874]
2.9173913043478263,3.868115942028985,1.4,0.5566254298382292,"[(2.927915350160392, 4.635507189201315)]",[2.0562516720704314]
1.9028985507246376,2.128985507246377,0.95,0.7148022090661913,"[(1.3422947374597516, 1.3309773693588647)]",[2.3502076379101196]
3.091304347826087,2.65072463768116,0.95,0.3171771201046935,"[(2.3813971949430606, 3.5046429848135148), (3.8472796691341893, 1.835730626818815)]","[-1.4615027590132412, 2.0207647882503608]"
2.453623188405797,2.302898550724638,0.9,0.3230114741840316,"[(2.467689446497615, 1.1973856779236136)]",[2.444623419167212]
2.2507246376811594,3.4043478260869566,0.9,1.077934186506144,"[(1.3362233108640953, 4.1535468195256815), (3.274497066364755, 2.8359659901815895)]","[2.144667625773118, -2.002269429122766]"
2.076811594202898,3.4043478260869566,1.55,6.832256433689904,"[(1.4242432177366189, 3.830048501871006), (2.7722166534562134, 3.0732412170465238)]","[1.7235560828965102, -0.1415782666728254]"
3.6420289855072463,3.0275362318840577,1.35,0.8232273444909332,"[(4.422182837078205, 2.791270240407144)]",[1.7015305985213371]
3.410144927536232,2.128985507246377,1.35,0.3941552532036053,"[(3.9398639750877273, 1.476732426634985)]",[1.473304165831521]
3.091304347826087,2.7956521739130435,1.75,1.6463101229727246,"[(2.495826903070337, 3.2392731505925965), (3.654145235313306, 2.308606759683789)]","[-0.7313090771562903, 1.868765345027073]"
3.033333333333333,3.781159420289855,1.6,0.416398058686276,"[(3.194961147588634, 4.46160468145656)]",[2.271835694217836]
2.163768115942029,2.7666666666666666,1.6,0.8687235564081767,"[(1.5160673357326686, 2.527555899320677)]",[2.776367860235626]
1.7869565217391306,3.694202898550724,2.1,0.2855700609778549,"[(1.2285338932412242, 4.113077481431489)]",[1.4399443630550572]
2.105797101449276,3.5202898550724635,2.0,0.948823717679852,"[(1.552839685747283, 3.964913080793453)]",[1.6276111756549514]
2.7434782608695656,2.563768115942029,2.0,0.5443595995812212,"[(2.9702478606242826, 1.9104080150756708)]",[1.962068913284223]
1.9608695652173915,3.433333333333333,1.5,4.170236614441521,"[(1.2881482101137827, 3.847557465527881)]",[1.6553019073754776]
3.178260869565218,2.2449275362318843,1.5,0.1420165177999364,"[(3.6278197632119418, 1.592402804876591)]",[1.5493092229912258]
2.424637681159421,2.940579710144928,1.5,0.9434127818278852,"[(1.6945451490301116, 2.8730949695759587)]",[4.358713861553547]
3.410144927536232,2.679710144927536,1.5,2.82309479962866,"[(4.053696162275923, 2.2160007881546755)]",[1.627264218231128]
3.3231884057971017,3.3463768115942027,1.65,1.3014004019644168,"[(4.018969143653908, 3.426323082647846)]",[2.2988731813225107]
3.3231884057971017,4.013043478260869,1.65,0.6034143229055149,"[(3.637090726521931, 4.609346663037264)]",[1.939861798919537]
